asin,name,price,old_price,discount,description,rating,reviews,availability,affiliate_link
B0DDL38SS4,"HP Notebook 250 G10, CPU Intel Core i7 13Th Gen, 32GB Ram DDR4, 1TB (1000GB) NVMe SSD, Windows 11 Pro, Display Laptop 15.6"" Full HD, Portatile Pronto all'Uso",819.9,819.9,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0DDL38SS4/?tag=mikrotech-21
B0DDPKVYNZ,"AOC PC Portatile, 12 N97 CPU(Up to 3,6GHz), Gaming Notebook 16GB DDR4 RAM 512GB SSD(Fino a 2 TB) Laptop, 1080P Schermo PC Portatili, 2.4G+5G WiFi/BT5.1, USB3.2, HDMI Notebook, Tipo-C (15.6 Pollice)",315.01,359.99,44.98000000000002,N/A,4.0,,,https://www.amazon.it/dp/B0DDPKVYNZ/?tag=mikrotech-21
B0CSDKS41H,"MSI Katana 15 B13VFK-1672IT, Notebook Gaming, 15,6"" FHD 144Hz, Intel i7-13620H, Nvidia RTX 4060 GDDR6 8GB, 1TB SSD PCIe4, DDR5 16GB 5200MHz, WiFi 6E, Win11 Home [Layout e Garanzia ITA]",1099.0,1099.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0CSDKS41H/?tag=mikrotech-21
B0CK8D97V1,"Lenovo IdeaPad Slim 3 Notebook Chromebook 14"" FHD (1920x1080), MediaTek Kompanio 520, 8GB RAM, 128GB eMMC, ChromeOS, WiFi 6 - Abyss Blue, Esclusiva Amazon",279.0,299.0,20.0,N/A,4.0,,Esclusiva Amazon,https://www.amazon.it/dp/B0CK8D97V1/?tag=mikrotech-21
B0CSDKVS6Z,"MSI Katana 17 B13VGK-1022IT, Notebook Gaming, 17,3"" FHD 144Hz, Intel i7-13620H, Nvidia RTX 4070 GDDR6 8GB, 1TB SSD PCIe4, DDR5 16GB, WiFi 6, Win11 Home [Layout e Garanzia ITA]",1724.53,1724.53,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0CSDKVS6Z/?tag=mikrotech-21
0a72b9811a4cfcccecdf0d4a3fffd088,"ASUS Vivobook 15 F1504ZA#B086ZTHZF7, Notebook con Monitor da 15,6"" FHD Anti-Glare, 60Hz, Intel Core 12 gen i3-1215U, RAM 8GB, 512GB SSD PCIE, Intel UHD Graphics, WIN 11 HOME, Argento",469.0,389.99,0.0,N/A,4.0,,,https://www.amazon.it/dp/0a72b9811a4cfcccecdf0d4a3fffd088/?tag=mikrotech-21
B086ZTHZF7,"ASUS Vivobook 15 F1504ZA#B086ZTHZF7, Notebook con Monitor da 15,6"" FHD Anti-Glare, 60Hz, Intel Core 12 gen i3-1215U, RAM 8GB, 512GB SSD PCIE, Intel UHD Graphics, WIN 11 HOME, Argento",469.0,469.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B086ZTHZF7/?tag=mikrotech-21
B0CP6258QF,"MSI Modern 14 C7M-245IT, Notebook 14"" FHD 60Hz, AMD Ryzen 5 7530U, Radeon Graphics, 8GB DDR4 Onboard 3200MHz, 512GB SSD PCIe3, WiFi 6E, Win 11 Home, Layout e Garanzia ITA, Nero",499.0,499.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0CP6258QF/?tag=mikrotech-21
B0D8L79YR8,"AOC PC Portatile, In-tel Alder Lake-N97 Fino a 3,6 GHz, 15,6 Pollici FHD Notebook, 16GB RAM 512GB M.2 SSD Laptop Computer Portatile Guscio Metallico 2.4G/5G WiFi,BT5.2,USB3,2, HDMI,Tipo C,5000mAh",300.99,389.99,89.0,N/A,4.0,,,https://www.amazon.it/dp/B0D8L79YR8/?tag=mikrotech-21
B0D9B9VH47,"AOC 2025 PC Portatile, 12 N97 CPU(Fino to 3,6GHz), 15,6 Pollici Notebook, 16GB DDR4 RAM 512GB SSD(Fino a 2TB) M,2 2280 NGFF Laptop, WiFi,BT5.1, Tipo C,USB3.2, HDMI, Sistema Versione 11 Pro",399.99,399.99,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0D9B9VH47/?tag=mikrotech-21
B0CZ42YZYG,"ASUS Chromebook CM1402FM2A#B0CZ42YZYG, Notebook con Monitor 14"" FHD Glossy, 60Hz, MediaTek Kompanio 520, RAM 4GB, 128GB eMMC, grafica ARM Mali-G52 MC2, Chrome, Grigio",299.0,299.0,0.0,N/A,4.0,,,https://www.amazon.it/dp/B0CZ42YZYG/?tag=mikrotech-21
