asin,price,recorded_at,scraped_at,old_price
B0D2W5M1KB,150.0,2025-02-02 19:46:37.609110,2025-02-02 19:46:37.609110,150.0
B0D31PQ1SH,125.99,2025-02-02 19:48:00.181283,2025-02-02 19:48:00.181283,125.99
B0D31WVBNF,219.99,2025-02-02 19:47:58.823716,2025-02-02 19:47:58.823716,219.99
B0D3C6V4KR,298.37,2025-02-02 19:48:01.906905,2025-02-02 19:48:01.906905,298.37
B0D3QDHSXL,59.99,2025-02-03 13:16:16.775147,2025-02-03 13:16:16.775147,59.99
B0D3RFQ7YF,209.0,2025-02-03 13:16:54.279343,2025-02-03 13:16:54.279343,209.0
B0D3RFQ7YF,209.0,2025-02-03 13:16:59.384313,2025-02-03 13:16:59.384313,209.0
B0D41NGRRD,69.99,2025-02-03 13:16:56.173674,2025-02-03 13:16:56.173674,69.99
B0D41NGRRD,69.99,2025-02-03 13:17:01.241469,2025-02-03 13:17:01.241469,69.99
B0D451HM5F,98.98,2025-02-03 13:16:56.701631,2025-02-03 13:16:56.701631,98.98
B0D451HM5F,98.98,2025-02-03 13:17:01.875092,2025-02-03 13:17:01.875092,98.98
B0D474S77Z,19.99,2025-02-03 13:16:17.028350,2025-02-03 13:16:17.028350,19.99
B0D4F4974M,235.0,2025-02-03 13:17:02.206704,2025-02-03 13:17:02.206704,235.0
B0D4MLHLHJ,329.0,2025-02-02 19:48:01.306910,2025-02-02 19:48:01.306910,329.0
B0D4R5TP82,201.99,2025-02-02 19:43:29.201844,2025-02-02 19:43:29.201844,201.99
B0D4R5TP82,201.99,2025-02-02 19:43:36.567857,2025-02-02 19:43:36.567857,201.99
B0D4R5TP82,201.99,2025-02-02 19:46:34.490798,2025-02-02 19:46:34.490798,201.99
B0D4R5TP82,201.99,2025-02-02 19:46:38.668609,2025-02-02 19:46:38.668609,201.99
B0D4Z3LX28,44.77,2025-02-03 13:16:18.231382,2025-02-03 13:16:18.231382,44.77
B0D54CZXPJ,189.99,2025-02-02 19:47:19.060658,2025-02-02 19:47:19.060658,189.99
B0D54CZXPJ,189.99,2025-02-02 19:47:22.486785,2025-02-02 19:47:22.486785,189.99
B0D54CZXPJ,189.99,2025-02-02 21:14:11.146199,2025-02-02 21:14:11.146199,189.99
B0D54CZXPJ,189.99,2025-02-02 21:14:14.586315,2025-02-02 21:14:14.586315,189.99
B0D575HGBC,51.43,2025-02-03 13:16:19.609834,2025-02-03 13:16:19.609834,51.43
B0D5B6PPLW,289.99,2025-02-02 21:14:12.831467,2025-02-02 21:14:12.831467,289.99
B0D5B6PPLW,289.99,2025-02-02 21:14:16.434893,2025-02-02 21:14:16.434893,289.99
B0D5CWSQJD,129.99,2025-02-02 19:46:36.769712,2025-02-02 19:46:36.769712,129.99
B0D5HDXPP6,189.99,2025-02-02 19:43:38.621539,2025-02-02 19:43:38.621539,189.99
B0D5RDYHSZ,70.99,2025-02-02 19:43:24.794427,2025-02-02 19:43:24.794427,70.99
B0D5RDYHSZ,70.99,2025-02-02 19:43:31.921815,2025-02-02 19:43:31.921815,70.99
B0D5RDYHSZ,70.99,2025-02-02 19:46:32.169301,2025-02-02 19:46:32.169301,70.99
B0D5RDYHSZ,70.99,2025-02-02 19:46:36.212919,2025-02-02 19:46:36.212919,70.99
B0D5RFLLH4,229.0,2025-02-02 19:47:19.575584,2025-02-02 19:47:19.575584,229.0
B0D5RFLLH4,229.0,2025-02-02 19:47:23.015986,2025-02-02 19:47:23.015986,229.0
B0D5RFLLH4,229.0,2025-02-02 21:14:11.552745,2025-02-02 21:14:11.552745,229.0
B0D5RFLLH4,229.0,2025-02-02 21:14:14.993059,2025-02-02 21:14:14.993059,229.0
B0D66M83HD,499.69,2025-02-02 19:47:21.018550,2025-02-02 19:47:21.018550,499.69
B0D66M83HD,499.69,2025-02-02 19:47:24.464512,2025-02-02 19:47:24.464512,499.69
B0D6GGF369,139.29,2025-02-02 19:48:00.403098,2025-02-02 19:48:00.403098,139.29
B0D6LDZTTM,85.0,2025-02-02 19:43:25.694126,2025-02-02 19:43:25.694126,85.0
B0D6LDZTTM,85.0,2025-02-02 19:43:32.810316,2025-02-02 19:43:32.810316,85.0
B0D6LDZTTM,85.0,2025-02-02 19:46:32.635964,2025-02-02 19:46:32.635964,85.0
B0D6LDZTTM,85.0,2025-02-02 19:46:36.849687,2025-02-02 19:46:36.849687,85.0
B0D6NB9RC8,199.9,2025-02-02 19:48:01.348699,2025-02-02 19:48:01.348699,199.9
B0D6V4ZTVK,63.99,2025-02-03 13:16:54.636888,2025-02-03 13:16:54.636888,63.99
B0D6V4ZTVK,63.99,2025-02-03 13:16:59.748153,2025-02-03 13:16:59.748153,63.99
B0D6VX68ZJ,79.99,2025-02-02 19:43:38.319598,2025-02-02 19:43:38.319598,79.99
B0D72XCMKF,12.99,2025-02-03 13:16:18.955154,2025-02-03 13:16:18.955154,12.99
B0D78SFPNM,239.9,2025-02-02 19:43:27.250801,2025-02-02 19:43:27.250801,239.9
B0D78SFPNM,239.9,2025-02-02 19:43:34.900916,2025-02-02 19:43:34.900916,239.9
B0D78SFPNM,239.9,2025-02-02 19:46:33.589224,2025-02-02 19:46:33.589224,239.9
B0D78SFPNM,239.9,2025-02-02 19:46:37.688125,2025-02-02 19:46:37.688125,239.9
B0D7BX4BXG,219.99,2025-02-02 19:47:20.350065,2025-02-02 19:47:20.350065,219.99
B0D7BX4BXG,219.99,2025-02-02 19:47:23.901858,2025-02-02 19:47:23.901858,219.99
B0D7BX4BXG,219.99,2025-02-02 21:14:12.452330,2025-02-02 21:14:12.452330,219.99
